surface,access,smoking,leisure,tourism,fixme,operator,operator:type,dog,@geometry,@id,addr:city,website,addr:village,noname,addr:postcode,highway,landuse,addr:housenumber,description,type,barrier,name:etymology:wikidata,check_date,name,name:en,grassland,brand,opening_hours:covid19,addr:district,amenity,created_by,addr:street,brand:wikidata,opening_hours,latitude,longitude
,,,park,,,,,,center,way/297353910,,,,,,,,,,,,,,Triangle Children Park,,,,,,,,,,,28.4443271,77.0641678
,,,park,,,,,,center,way/349910266,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5052145,77.0468073
,,,park,,,,,,center,way/349910269,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5047454,77.0473607
,,,park,,,,,,center,way/349910273,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5062387,77.0473127
,,,park,,,,,,center,way/401251826,,,,,,,,,,,,,,,,,,,,,,,,,28.3443776,76.9424771
,,,park,,,,,,center,way/411357284,,,,,,,,,,,,,,,,,,,,,,,,,28.4454463,77.0728795
,,,park,,,,,,center,way/411357289,,,,,,,,,,,,,,,,,,,,,,,,,28.4445522,77.0732001
,,,park,,,,,,center,way/414178866,,,,,,,,,,,,,,Candor Badminton Court And Park,,,,,,,,,,,28.5106112,77.0721605
,,,park,,,,,,center,way/420275291,,,,,,,,,,,,,,,,,,,,,,,,,28.5052367,77.0579204
,,,park,,,,,,center,way/420981892,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4586927,77.0414936
,,,park,,,,,,center,way/422805420,,,,,,,,,,,,,,,,,,,,,,,,,28.4432626,77.0704142
,,,park,,,,,,center,way/423057677,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4365607,77.0623169
,,,park,,,,,,center,way/423061730,,,,,,,,,,,,,,,,,,,,,,,,,28.453838,77.0699673
,,,park,,,,,,center,way/423067661,,,,,,,,,,,,,,,,,,,,,,,,,28.4541413,77.0635836
,,,park,,,,,,center,way/423108017,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4367693,77.0655819
,,,park,,,RWA,private,,center,way/423115180,Gurugram,,,,122001,,,,,,,,,N Block Central Park,,,,,,,,N Block,,,28.4263361,77.0619209
,,,park,,,,,,center,way/423116763,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4352591,77.064072
,,,park,,,,,,center,way/423270301,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4039292,77.0684054
,,,park,,,,,,center,way/423270304,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4063313,77.0706366
,,,park,,,,,,center,way/423270305,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4070315,77.0699688
,,,park,,,,,,center,way/423270307,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4037762,77.062417
,,,park,,,,,,center,way/423270308,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4063377,77.0707399
,,,park,,,,,,center,way/423270309,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4037337,77.0627563
,,,park,,,,,,center,way/423270311,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4043176,77.0625029
,,,park,,,,,,center,way/423298943,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4055394,77.0614306
,,,park,,,,,,center,way/423343434,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4171561,77.0771438
,,,park,,Is this a public park?,,,,center,way/423531272,,,,,,,,,,,,,,,,,,,,,,,,,28.4141609,77.0666314
,,,park,,,,,,center,way/423531273,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4193012,77.063866
,,,park,,,,,,center,way/423531274,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4183093,77.0608456
,,,park,,,,,,center,way/423531275,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4152797,77.0659978
,,,park,,,,,,center,way/423531276,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4166379,77.0651622
,,,park,,,,,,center,way/423531277,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4120896,77.0651844
,,,park,,,,,,center,way/423531278,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4180923,77.0641316
,,,park,,,,,,center,way/423531565,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4118731,77.0631519
,,,park,,,,,,center,way/423594856,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4544731,77.0413846
,,,park,,,,,,center,way/423594857,,,,,,,grass,,,,,,,,,,,,,,,,,,28.457123,77.0401093
,,,park,,,,,,center,way/423594858,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4591121,77.0478375
,,,park,,,,,,center,way/423619136,,,,,,,,,,,,,,,,,,,,,,,,,28.4411982,77.0471876
,,,park,,,,,,center,way/423619154,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4412991,77.0478883
,,,park,,,,,,center,way/423734334,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4546087,77.0455677
,,,park,,,,,,center,way/423734335,,,,,,,,,,,wall,,,Silver Jubilee Park,,,,,,,,,,,28.4575953,77.0483509
,,,park,,,,,,center,way/423734336,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4569329,77.0543685
,,,park,,,,,,center,way/423734337,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4530711,77.0440335
,,,park,,,,,,center,way/423742697,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4508342,77.0510759
,,,park,,,,,,center,way/426762197,,,,,,,,,Cyclist Assembly Area,,,,,Gaushala - PedalYatri,,,,,,,,,,,28.3986244,77.109884
,,,park,,,,,,center,way/442956526,,,,,,,,,,,,,,,,,,,,,,,,,28.4518896,77.0590603
,,,park,,,,,,center,way/442957603,,,,,,,,,,,,,,,,,,,,,,,,,28.4503006,77.0618478
,,,park,,,,,,center,way/442957604,,,,,,,,,,,,,,,,,,,,,,,,,28.4486123,77.0609802
,,,park,,,,,,center,way/442957606,,,,,,,,,,,,,,,,,,,,,,,,,28.453081,77.0649652
,,,park,,,,,,center,way/442969479,,,,,,,,,,,,,,,,,,,,,,,,,28.4650539,77.0866013
,,,park,,,,,,center,way/442969480,,,,,,,,,,,,,,,,,,,,,,,,,28.464806,77.0835853
,,,park,,,,,,center,way/469561029,,,,,,,,,,,,,,,,,,,,,,,,,28.4857142,77.1072942
,,,park,,,,,,center,way/469561030,,,,,,,,,,,,,,,,,,,,,,,,,28.4857096,77.107289
,,,park,,,,,,center,way/469561479,,,,,,,,,,,,,,,,,,,,,,,,,28.4844721,77.1073633
,,,park,,,,,,center,way/469561517,,,,,,,,,,,,,,,,,,,,,,,,,28.4846813,77.1072024
,,,park,,,,,,center,way/469561715,,,,,,,,,,,,,,,,,,,,,,,,,28.4843842,77.1070648
,,,park,,,,,,center,way/469563648,,,,,,,,,,,,,,,,,,,,,,,,,28.266409,77.0647533
,,,park,,,,,,center,way/471501657,,,,,,,,,,,,,,Malibu Town Tower 3-4 Park,,,,,,,,,,,28.4230835,77.0399306
,,,park,,,,,,center,way/471501661,,,,,,,,,,,,,,Imperia Towers Park,,,,,,,,,,,28.4229993,77.0414895
,,,park,,,,,,center,way/471502959,,,,,,,,,,,,,,Malibu Town Parks,,,,,,,,,,,28.4209658,77.0425652
,,,park,,,,,,center,way/473960925,,,,,,,,,,,,,,,,,,,,,,,,,28.4620717,77.0427154
,,,park,,,,,,center,way/473960926,,,,,,,,,,,,,,,,,,,,,,,,,28.463406,77.0450716
,,,park,,,,,,center,way/473960927,,,,,,,,,,,,,,,,,,,,,,,,,28.4637545,77.0440645
,,,park,,,,,,center,way/473960928,,,,,,,,,,,,,,,,,,,,,,,,,28.4631292,77.0460628
,,,park,,,,,,center,way/473960929,gurgaon,,,,12001,,,1076420,,,,,,,,,,,,,,Mehrauli-Gurgaon Road,,24/7,28.4632484,77.0430256
,,,park,,,,,,center,way/473960930,,,,,,,,,,,,,,,,,,,,,,,,,28.4638747,77.0418677
,,,park,,,,,,center,way/473960931,,,,,,,,,,,,,,,,,,,,,,,,,28.4633063,77.0424076
,,,park,,,,,,center,way/482822215,Gurgaon,,,,122002,,,Dlf Phase-3,Jogging track which is runnable along most of the way but has sections with tree roots.,,,,,RK Convent Park,,,,,,,,U-50,,,28.4912581,77.0947872
,,,park,,,,,,center,way/483520532,,,,,,,,,,,,,,,,,,,,,,,,,28.5170476,77.0446176
,,,park,,,,,,center,way/490407162,,,,,,,,,,,,,,Herbal Garden,,,,,,,,,,,28.5089738,77.088791
,,,park,,,,,,center,way/492728960,,,,,,,,,,,,,,Huda Park,,,,,,,,,,,28.4288235,77.0957191
,,,park,,,,,,center,way/492742442,Gurgaon,,,,122001,,,,,,,,,Dussehra Ground,,,,,,,,New Colony,,,28.4653455,77.0149421
